path	type	category	risk	size_bytes	note
docs/phase4/18_4_controlled_gateway_runtime_apply_inventory.tsv	file	generated_report	LOW	936	phase4_evidence_keep
docs/phase4/18_4_controlled_gateway_runtime_apply_matrix.tsv	file	generated_report	LOW	731	phase4_evidence_keep
docs/phase4/18_4_controlled_gateway_runtime_apply_report.md	file	generated_report	LOW	28359	phase4_evidence_keep
docs/phase4/18_4_controlled_gateway_runtime_apply_standard.md	file	generated_report	LOW	1413	phase4_evidence_keep
docs/phase4/18_4_purchase_stock_increment_inventory.tsv	file	generated_report	LOW	783	phase4_evidence_keep
docs/phase4/18_4_purchase_stock_increment_matrix.tsv	file	generated_report	LOW	936	phase4_evidence_keep
docs/phase4/18_4_purchase_stock_increment_report.md	file	generated_report	LOW	6111	phase4_evidence_keep
docs/phase4/18_4_purchase_stock_increment_standard.md	file	generated_report	LOW	1960	phase4_evidence_keep
docs/phase4/18_5_live_http_smoke_auth_tenant_report.md	file	generated_report	LOW	3852	phase4_evidence_keep
docs/phase4/18_5_live_http_smoke_auth_tenant_standard.md	file	generated_report	LOW	1394	phase4_evidence_keep
docs/phase4/18_5_live_http_smoke_endpoint_results.tsv	file	generated_report	LOW	845	phase4_evidence_keep
docs/phase4/18_5_live_http_smoke_matrix.tsv	file	generated_report	LOW	702	phase4_evidence_keep
docs/phase4/18_5_stock_reservation_inventory.tsv	file	generated_report	LOW	735	phase4_evidence_keep
docs/phase4/18_5_stock_reservation_matrix.tsv	file	generated_report	LOW	1025	phase4_evidence_keep
docs/phase4/18_5_stock_reservation_report.md	file	generated_report	LOW	5761	phase4_evidence_keep
docs/phase4/18_5_stock_reservation_standard.md	file	generated_report	LOW	2072	phase4_evidence_keep
docs/phase4/18_6_negative_stock_policy_inventory.tsv	file	generated_report	LOW	699	phase4_evidence_keep
docs/phase4/18_6_negative_stock_policy_matrix.tsv	file	generated_report	LOW	1062	phase4_evidence_keep
docs/phase4/18_6_negative_stock_policy_report.md	file	generated_report	LOW	5992	phase4_evidence_keep
docs/phase4/18_6_negative_stock_policy_standard.md	file	generated_report	LOW	1751	phase4_evidence_keep
docs/phase4/18_6_reporting_live_route_final_closure_inventory.tsv	file	generated_report	LOW	953	phase4_evidence_keep
docs/phase4/18_6_reporting_live_route_final_closure_matrix.tsv	file	generated_report	LOW	830	phase4_evidence_keep
docs/phase4/18_6_reporting_live_route_final_closure_report.md	file	generated_report	LOW	28415	phase4_evidence_keep
docs/phase4/18_6_reporting_live_route_final_closure_standard.md	file	generated_report	LOW	1544	phase4_evidence_keep
docs/phase4/18_7_stock_valuation_inventory.tsv	file	generated_report	LOW	611	phase4_evidence_keep
docs/phase4/18_7_stock_valuation_matrix.tsv	file	generated_report	LOW	1041	phase4_evidence_keep
docs/phase4/18_7_stock_valuation_report.md	file	generated_report	LOW	5545	phase4_evidence_keep
docs/phase4/18_7_stock_valuation_standard.md	file	generated_report	LOW	2219	phase4_evidence_keep
docs/phase4/18_8_inventory_tests_inventory.tsv	file	generated_report	LOW	1006	phase4_evidence_keep
docs/phase4/18_8_inventory_tests_matrix.tsv	file	generated_report	LOW	829	phase4_evidence_keep
docs/phase4/18_8_inventory_tests_report.md	file	generated_report	LOW	7923	phase4_evidence_keep
docs/phase4/18_8_inventory_tests_standard.md	file	generated_report	LOW	1252	phase4_evidence_keep
